ID,PART_DESCRIPTION,CAPACITY_mAh,NOMINAL_VOLTAGE_V,MAX_OPERATING_TEMP_C,MIN_OPERATING_TEMP_C,FORM_FACTOR,MAX_DISCHARGE_CURRENT_A,ANODE_MATERIAL,CATHODE_MATERIAL
B219,High capacity lithium-ion cell for EVs,2000.0,,60.0,0.0,Prismatic,10.0,Graphite,Lithium Iron Phosphate
B220,High capacity lithium-ion cell for EVs,1000.0,3.7,70.0,,Pouch,100.0,Graphite,Lithium Iron Phosphate
B221,Compact LiFePO4 battery for solar storage,2000.0,3.7,60.0,-10.0,Cylindrical,5.0,Graphite,Lithium Cobalt Oxide
B222,High capacity lithium-ion cell for EVs,10000.0,3.7,40.0,0.0,Prismatic,10.0,Graphite,
B223,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,,40.0,-20.0,Prismatic,10.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B224,Lead-acid deep cycle battery for UPS,2000.0,3.2,50.0,0.0,Pouch,20.0,Lead,Lead Dioxide
B225,High capacity lithium-ion cell for EVs,5000.0,24.0,40.0,-10.0,Pouch,2.0,Graphite,Lithium Iron Phosphate
B226,High capacity lithium-ion cell for EVs,1000.0,3.6,,-20.0,Pouch,5.0,,Lithium Iron Phosphate
,Compact LiFePO4 battery for solar storage,,12.0,70.0,-20.0,Prismatic,2.0,Graphite,Lithium Cobalt Oxide
,Compact LiFePO4 battery for solar storage,1000.0,12.0,50.0,-20.0,Prismatic,50.0,,
B229,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,3.2,70.0,-10.0,Cylindrical,10.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B230,Lead-acid deep cycle battery for UPS,5000.0,12.0,,0.0,Prismatic,50.0,Lead,Lead Dioxide
B231,Compact LiFePO4 battery for solar storage,1000.0,3.2,,,Cylindrical,1.0,Graphite,Lithium Cobalt Oxide
B232,High capacity lithium-ion cell for EVs,,24.0,50.0,0.0,Pouch,10.0,Graphite,Lithium Iron Phosphate
B233,Lead-acid deep cycle battery for UPS,10000.0,3.6,60.0,,Pouch,,Lead,Lead Dioxide
B234,Lead-acid deep cycle battery for UPS,10000.0,24.0,50.0,-10.0,,,Lead,Lead Dioxide
B235,High capacity lithium-ion cell for EVs,,3.7,50.0,-20.0,Pouch,,Graphite,Lithium Iron Phosphate
B236,Compact LiFePO4 battery for solar storage,3000.0,3.7,40.0,0.0,Pouch,20.0,,Lithium Cobalt Oxide
B237,High capacity lithium-ion cell for EVs,1000.0,,,-20.0,Prismatic,50.0,Graphite,Lithium Iron Phosphate
,Lead-acid deep cycle battery for UPS,3000.0,,70.0,,,50.0,Lead,
,Solid-state battery prototype for aerospace,3000.0,12.0,50.0,-10.0,Prismatic,2.0,Lithium Metal,
B240,Solid-state battery prototype for aerospace,1000.0,3.6,50.0,-20.0,Cylindrical,10.0,Lithium Metal,Lithium Cobalt Oxide
,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,3.7,70.0,-20.0,Prismatic,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B242,High capacity lithium-ion cell for EVs,3000.0,3.7,,0.0,Prismatic,20.0,Graphite,Lithium Iron Phosphate
B243,High capacity lithium-ion cell for EVs,3000.0,3.7,50.0,-10.0,Pouch,,Graphite,Lithium Iron Phosphate
B244,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,,50.0,-20.0,Prismatic,10.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B245,Nickel-metal hydride battery pack for hybrid vehicles,,3.7,,0.0,,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B246,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,3.6,,-10.0,Cylindrical,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B247,Lead-acid deep cycle battery for UPS,3000.0,3.7,60.0,-10.0,Pouch,1.0,Lead,Lead Dioxide
B248,High capacity lithium-ion cell for EVs,,24.0,70.0,0.0,Cylindrical,100.0,Graphite,Lithium Iron Phosphate
B249,Lead-acid deep cycle battery for UPS,2000.0,24.0,60.0,0.0,Cylindrical,100.0,Lead,Lead Dioxide
B250,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,3.6,60.0,0.0,Pouch,20.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B251,High capacity lithium-ion cell for EVs,3000.0,,,,Pouch,,Graphite,Lithium Iron Phosphate
B252,Lead-acid deep cycle battery for UPS,,3.6,70.0,0.0,Pouch,1.0,Lead,Lead Dioxide
B253,Lead-acid deep cycle battery for UPS,5000.0,24.0,,-20.0,Prismatic,50.0,Lead,Lead Dioxide
B254,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,24.0,60.0,-20.0,Pouch,10.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B255,High capacity lithium-ion cell for EVs,2500.0,3.6,50.0,,Pouch,2.0,Graphite,Lithium Iron Phosphate
B256,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,,50.0,-20.0,Pouch,10.0,Hydrogen-absorbing Alloy,
,High capacity lithium-ion cell for EVs,10000.0,24.0,40.0,-20.0,Cylindrical,10.0,Graphite,
B258,Solid-state battery prototype for aerospace,10000.0,3.7,60.0,-20.0,Cylindrical,5.0,Lithium Metal,Lithium Cobalt Oxide
,Compact LiFePO4 battery for solar storage,,12.0,70.0,0.0,,,Graphite,Lithium Cobalt Oxide
B260,Compact LiFePO4 battery for solar storage,5000.0,3.6,60.0,-10.0,Cylindrical,5.0,Graphite,Lithium Cobalt Oxide
B261,Compact LiFePO4 battery for solar storage,10000.0,12.0,50.0,-10.0,Prismatic,100.0,Graphite,Lithium Cobalt Oxide
B262,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,3.2,70.0,-10.0,Cylindrical,10.0,,
B263,Solid-state battery prototype for aerospace,10000.0,3.2,,-10.0,Pouch,2.0,,Lithium Cobalt Oxide
,High capacity lithium-ion cell for EVs,2000.0,,50.0,-20.0,Cylindrical,,Graphite,Lithium Iron Phosphate
B265,Lead-acid deep cycle battery for UPS,10000.0,24.0,50.0,-20.0,Prismatic,50.0,,Lead Dioxide
B266,High capacity lithium-ion cell for EVs,2500.0,3.7,40.0,0.0,,5.0,Graphite,Lithium Iron Phosphate
,Lead-acid deep cycle battery for UPS,5000.0,12.0,40.0,-10.0,Pouch,,,Lead Dioxide
B268,High capacity lithium-ion cell for EVs,10000.0,3.2,40.0,-20.0,Prismatic,10.0,Graphite,
B269,Solid-state battery prototype for aerospace,10000.0,24.0,50.0,-20.0,Pouch,20.0,Lithium Metal,Lithium Cobalt Oxide
B270,Lead-acid deep cycle battery for UPS,5000.0,12.0,60.0,0.0,Pouch,50.0,Lead,Lead Dioxide
B271,Nickel-metal hydride battery pack for hybrid vehicles,2000.0,24.0,40.0,0.0,Prismatic,,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B272,High capacity lithium-ion cell for EVs,2000.0,,60.0,0.0,,20.0,Graphite,Lithium Iron Phosphate
,High capacity lithium-ion cell for EVs,,3.2,40.0,-20.0,Pouch,,Graphite,Lithium Iron Phosphate
B274,Lead-acid deep cycle battery for UPS,,3.2,70.0,-20.0,Cylindrical,50.0,Lead,
B275,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,24.0,70.0,0.0,Pouch,2.0,Hydrogen-absorbing Alloy,
B276,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,3.6,40.0,-10.0,Pouch,10.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B277,Solid-state battery prototype for aerospace,2000.0,24.0,50.0,0.0,Pouch,10.0,Lithium Metal,
B278,Nickel-metal hydride battery pack for hybrid vehicles,2000.0,24.0,,0.0,Pouch,5.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B279,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,3.7,40.0,0.0,Prismatic,50.0,,Nickel Oxyhydroxide
B280,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,3.7,50.0,0.0,Cylindrical,50.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
,Compact LiFePO4 battery for solar storage,5000.0,3.7,,-20.0,Pouch,20.0,Graphite,Lithium Cobalt Oxide
B282,Solid-state battery prototype for aerospace,,3.6,60.0,-10.0,,5.0,Lithium Metal,Lithium Cobalt Oxide
B283,High capacity lithium-ion cell for EVs,5000.0,3.6,40.0,0.0,Prismatic,100.0,Graphite,Lithium Iron Phosphate
B284,Lead-acid deep cycle battery for UPS,5000.0,24.0,50.0,-10.0,Pouch,,Lead,Lead Dioxide
B285,High capacity lithium-ion cell for EVs,3000.0,,40.0,-10.0,Prismatic,,Graphite,Lithium Iron Phosphate
B286,Solid-state battery prototype for aerospace,,3.6,50.0,-10.0,,10.0,Lithium Metal,Lithium Cobalt Oxide
,Lead-acid deep cycle battery for UPS,2500.0,,60.0,0.0,,5.0,Lead,Lead Dioxide
B288,Solid-state battery prototype for aerospace,1000.0,24.0,60.0,-20.0,Pouch,,Lithium Metal,
B289,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,12.0,70.0,0.0,Pouch,5.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B290,Lead-acid deep cycle battery for UPS,2500.0,24.0,50.0,,Pouch,20.0,Lead,Lead Dioxide
B291,Nickel-metal hydride battery pack for hybrid vehicles,5000.0,12.0,50.0,-10.0,Prismatic,100.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B292,High capacity lithium-ion cell for EVs,3000.0,3.7,70.0,-20.0,Pouch,5.0,Graphite,Lithium Iron Phosphate
,High capacity lithium-ion cell for EVs,5000.0,12.0,70.0,0.0,Pouch,20.0,Graphite,Lithium Iron Phosphate
B294,Lead-acid deep cycle battery for UPS,2000.0,3.7,50.0,-10.0,Cylindrical,5.0,Lead,Lead Dioxide
B295,Lead-acid deep cycle battery for UPS,10000.0,3.2,70.0,-20.0,,100.0,Lead,Lead Dioxide
B296,Solid-state battery prototype for aerospace,3000.0,,,-10.0,Cylindrical,5.0,Lithium Metal,Lithium Cobalt Oxide
B297,Solid-state battery prototype for aerospace,2000.0,24.0,40.0,-20.0,Pouch,2.0,Lithium Metal,Lithium Cobalt Oxide
B298,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,3.7,60.0,,Cylindrical,20.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B299,Lead-acid deep cycle battery for UPS,3000.0,24.0,70.0,0.0,Pouch,100.0,Lead,Lead Dioxide
B300,High capacity lithium-ion cell for EVs,2000.0,3.6,50.0,-10.0,,20.0,Graphite,Lithium Iron Phosphate
,Solid-state battery prototype for aerospace,2500.0,3.7,50.0,0.0,Prismatic,20.0,Lithium Metal,Lithium Cobalt Oxide
B302,Solid-state battery prototype for aerospace,1000.0,12.0,60.0,-10.0,Cylindrical,1.0,Lithium Metal,Lithium Cobalt Oxide
B303,High capacity lithium-ion cell for EVs,5000.0,3.7,50.0,,,100.0,Graphite,Lithium Iron Phosphate
B304,Solid-state battery prototype for aerospace,3000.0,24.0,70.0,-10.0,Cylindrical,5.0,Lithium Metal,
B305,Nickel-metal hydride battery pack for hybrid vehicles,,3.2,60.0,0.0,Pouch,20.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B306,Lead-acid deep cycle battery for UPS,10000.0,3.7,50.0,-20.0,Pouch,50.0,Lead,Lead Dioxide
B307,High capacity lithium-ion cell for EVs,2000.0,12.0,40.0,,Pouch,1.0,Graphite,Lithium Iron Phosphate
B308,Lead-acid deep cycle battery for UPS,5000.0,3.6,40.0,-10.0,Prismatic,2.0,Lead,Lead Dioxide
B309,Solid-state battery prototype for aerospace,2000.0,3.2,70.0,-20.0,Prismatic,20.0,Lithium Metal,Lithium Cobalt Oxide
B310,Solid-state battery prototype for aerospace,5000.0,3.6,,0.0,Cylindrical,,Lithium Metal,Lithium Cobalt Oxide
B311,High capacity lithium-ion cell for EVs,1000.0,,70.0,,,1.0,Graphite,
B312,Nickel-metal hydride battery pack for hybrid vehicles,1000.0,24.0,60.0,-10.0,Cylindrical,5.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B313,Compact LiFePO4 battery for solar storage,1000.0,24.0,,,Cylindrical,50.0,Graphite,Lithium Cobalt Oxide
B314,High capacity lithium-ion cell for EVs,1000.0,12.0,60.0,-20.0,Cylindrical,2.0,,Lithium Iron Phosphate
B315,Compact LiFePO4 battery for solar storage,,24.0,50.0,0.0,Prismatic,20.0,Graphite,Lithium Cobalt Oxide
B316,Compact LiFePO4 battery for solar storage,1000.0,3.2,,0.0,Pouch,5.0,Graphite,Lithium Cobalt Oxide
B317,Nickel-metal hydride battery pack for hybrid vehicles,2000.0,24.0,70.0,0.0,Prismatic,100.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B318,Compact LiFePO4 battery for solar storage,,12.0,70.0,-10.0,Cylindrical,50.0,Graphite,Lithium Cobalt Oxide
B319,Compact LiFePO4 battery for solar storage,5000.0,3.7,60.0,-20.0,,100.0,Graphite,Lithium Cobalt Oxide
B320,Nickel-metal hydride battery pack for hybrid vehicles,1000.0,3.7,40.0,-20.0,Prismatic,50.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B321,Compact LiFePO4 battery for solar storage,2000.0,24.0,60.0,0.0,Cylindrical,2.0,Graphite,
B322,Compact LiFePO4 battery for solar storage,2000.0,3.6,60.0,-10.0,Cylindrical,10.0,Graphite,
,Compact LiFePO4 battery for solar storage,,3.7,,,Prismatic,50.0,Graphite,Lithium Cobalt Oxide
B324,High capacity lithium-ion cell for EVs,,24.0,50.0,-10.0,Prismatic,10.0,Graphite,Lithium Iron Phosphate
B325,High capacity lithium-ion cell for EVs,5000.0,12.0,,-10.0,Prismatic,100.0,Graphite,Lithium Iron Phosphate
,High capacity lithium-ion cell for EVs,3000.0,24.0,40.0,-10.0,Cylindrical,50.0,,Lithium Iron Phosphate
,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,3.7,40.0,-10.0,Cylindrical,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B328,Solid-state battery prototype for aerospace,2000.0,,50.0,-20.0,Pouch,1.0,Lithium Metal,Lithium Cobalt Oxide
B329,Compact LiFePO4 battery for solar storage,2500.0,24.0,50.0,-10.0,,2.0,Graphite,Lithium Cobalt Oxide
B330,Compact LiFePO4 battery for solar storage,10000.0,3.2,40.0,-10.0,Prismatic,2.0,Graphite,Lithium Cobalt Oxide
B331,Nickel-metal hydride battery pack for hybrid vehicles,1000.0,12.0,70.0,0.0,Pouch,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B332,Compact LiFePO4 battery for solar storage,1000.0,3.2,40.0,,Cylindrical,,,Lithium Cobalt Oxide
B333,High capacity lithium-ion cell for EVs,3000.0,3.6,40.0,-20.0,Pouch,5.0,Graphite,Lithium Iron Phosphate
B334,Solid-state battery prototype for aerospace,5000.0,12.0,40.0,0.0,,50.0,,Lithium Cobalt Oxide
B335,Lead-acid deep cycle battery for UPS,2500.0,3.2,50.0,-10.0,Prismatic,100.0,Lead,Lead Dioxide
B336,Compact LiFePO4 battery for solar storage,5000.0,3.7,70.0,,Prismatic,5.0,Graphite,Lithium Cobalt Oxide
B337,High capacity lithium-ion cell for EVs,3000.0,3.7,40.0,-20.0,Cylindrical,1.0,Graphite,Lithium Iron Phosphate
B338,Lead-acid deep cycle battery for UPS,1000.0,3.6,50.0,0.0,Pouch,10.0,,Lead Dioxide
B339,Solid-state battery prototype for aerospace,5000.0,12.0,60.0,0.0,Prismatic,100.0,Lithium Metal,Lithium Cobalt Oxide
,Lead-acid deep cycle battery for UPS,,12.0,60.0,-20.0,Prismatic,10.0,Lead,Lead Dioxide
B341,High capacity lithium-ion cell for EVs,1000.0,12.0,40.0,-20.0,Pouch,2.0,Graphite,Lithium Iron Phosphate
,Lead-acid deep cycle battery for UPS,2500.0,3.6,60.0,,Pouch,20.0,,Lead Dioxide
B343,Nickel-metal hydride battery pack for hybrid vehicles,1000.0,12.0,70.0,0.0,Cylindrical,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B344,Lead-acid deep cycle battery for UPS,5000.0,3.7,60.0,-10.0,Pouch,2.0,Lead,Lead Dioxide
B345,Compact LiFePO4 battery for solar storage,2500.0,3.2,60.0,0.0,Pouch,20.0,Graphite,Lithium Cobalt Oxide
B346,Compact LiFePO4 battery for solar storage,2500.0,3.7,70.0,0.0,Pouch,50.0,Graphite,Lithium Cobalt Oxide
B347,Nickel-metal hydride battery pack for hybrid vehicles,1000.0,3.7,40.0,-10.0,Cylindrical,1.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B348,High capacity lithium-ion cell for EVs,5000.0,3.2,40.0,0.0,Cylindrical,10.0,Graphite,Lithium Iron Phosphate
,Compact LiFePO4 battery for solar storage,3000.0,3.7,,0.0,Prismatic,2.0,,Lithium Cobalt Oxide
B350,Solid-state battery prototype for aerospace,5000.0,,70.0,0.0,Cylindrical,20.0,Lithium Metal,Lithium Cobalt Oxide
B351,Compact LiFePO4 battery for solar storage,2000.0,3.2,70.0,-20.0,Prismatic,5.0,Graphite,
B352,Compact LiFePO4 battery for solar storage,10000.0,3.7,60.0,-10.0,Pouch,2.0,Graphite,Lithium Cobalt Oxide
B353,High capacity lithium-ion cell for EVs,3000.0,24.0,70.0,,Prismatic,10.0,Graphite,Lithium Iron Phosphate
B354,Lead-acid deep cycle battery for UPS,2500.0,3.7,,-10.0,Prismatic,1.0,Lead,Lead Dioxide
B355,Compact LiFePO4 battery for solar storage,3000.0,3.6,60.0,-10.0,Pouch,2.0,Graphite,Lithium Cobalt Oxide
,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,12.0,40.0,0.0,Prismatic,2.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B357,Lead-acid deep cycle battery for UPS,2500.0,3.7,40.0,,Cylindrical,50.0,Lead,
B358,Solid-state battery prototype for aerospace,3000.0,12.0,40.0,,Cylindrical,20.0,Lithium Metal,Lithium Cobalt Oxide
B359,High capacity lithium-ion cell for EVs,2500.0,24.0,60.0,-20.0,Cylindrical,5.0,,Lithium Iron Phosphate
B360,Solid-state battery prototype for aerospace,2500.0,3.7,50.0,-20.0,Cylindrical,5.0,Lithium Metal,Lithium Cobalt Oxide
B361,Lead-acid deep cycle battery for UPS,2000.0,3.2,70.0,-10.0,Prismatic,100.0,Lead,Lead Dioxide
B362,Lead-acid deep cycle battery for UPS,5000.0,12.0,70.0,,Prismatic,1.0,Lead,Lead Dioxide
B363,Lead-acid deep cycle battery for UPS,5000.0,,40.0,-10.0,Pouch,100.0,Lead,Lead Dioxide
B364,Solid-state battery prototype for aerospace,10000.0,,40.0,-20.0,Prismatic,10.0,Lithium Metal,Lithium Cobalt Oxide
B365,Lead-acid deep cycle battery for UPS,10000.0,3.2,60.0,-20.0,Prismatic,1.0,Lead,Lead Dioxide
,Solid-state battery prototype for aerospace,2000.0,,,-10.0,,2.0,Lithium Metal,
B367,Lead-acid deep cycle battery for UPS,10000.0,3.2,70.0,-20.0,Pouch,,Lead,Lead Dioxide
,Nickel-metal hydride battery pack for hybrid vehicles,,,60.0,0.0,Cylindrical,5.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B369,Lead-acid deep cycle battery for UPS,1000.0,3.7,70.0,-10.0,Prismatic,10.0,Lead,Lead Dioxide
B370,Solid-state battery prototype for aerospace,1000.0,3.7,40.0,,Pouch,,Lithium Metal,
B371,Compact LiFePO4 battery for solar storage,,24.0,70.0,,,10.0,,Lithium Cobalt Oxide
B372,Lead-acid deep cycle battery for UPS,2000.0,24.0,50.0,0.0,,2.0,,Lead Dioxide
B373,Compact LiFePO4 battery for solar storage,,,50.0,-10.0,Cylindrical,20.0,Graphite,Lithium Cobalt Oxide
B374,Nickel-metal hydride battery pack for hybrid vehicles,2500.0,3.6,40.0,-20.0,Prismatic,10.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B375,High capacity lithium-ion cell for EVs,1000.0,24.0,50.0,-20.0,Pouch,10.0,,Lithium Iron Phosphate
B376,Nickel-metal hydride battery pack for hybrid vehicles,3000.0,3.7,50.0,,Cylindrical,,Hydrogen-absorbing Alloy,
B377,Lead-acid deep cycle battery for UPS,10000.0,3.7,60.0,-10.0,Pouch,2.0,Lead,Lead Dioxide
B378,Compact LiFePO4 battery for solar storage,,3.6,,-20.0,Pouch,10.0,Graphite,Lithium Cobalt Oxide
B379,Compact LiFePO4 battery for solar storage,10000.0,3.6,40.0,,,,,
B380,Solid-state battery prototype for aerospace,1000.0,24.0,40.0,-20.0,Pouch,50.0,Lithium Metal,Lithium Cobalt Oxide
B381,Compact LiFePO4 battery for solar storage,1000.0,12.0,40.0,0.0,,50.0,Graphite,Lithium Cobalt Oxide
,Solid-state battery prototype for aerospace,1000.0,3.6,40.0,0.0,Cylindrical,,Lithium Metal,Lithium Cobalt Oxide
B383,High capacity lithium-ion cell for EVs,,3.2,,,Prismatic,20.0,,Lithium Iron Phosphate
B384,Lead-acid deep cycle battery for UPS,10000.0,3.7,50.0,0.0,Prismatic,50.0,Lead,Lead Dioxide
B385,Solid-state battery prototype for aerospace,2000.0,3.2,60.0,-10.0,Prismatic,20.0,Lithium Metal,Lithium Cobalt Oxide
B386,High capacity lithium-ion cell for EVs,2000.0,3.7,40.0,-20.0,Prismatic,10.0,Graphite,Lithium Iron Phosphate
B387,Compact LiFePO4 battery for solar storage,5000.0,3.7,60.0,0.0,Cylindrical,2.0,,Lithium Cobalt Oxide
B388,Compact LiFePO4 battery for solar storage,3000.0,3.6,60.0,-10.0,Cylindrical,50.0,Graphite,Lithium Cobalt Oxide
B389,High capacity lithium-ion cell for EVs,3000.0,,50.0,0.0,Cylindrical,100.0,Graphite,
B390,Compact LiFePO4 battery for solar storage,2500.0,3.2,40.0,0.0,Pouch,10.0,Graphite,Lithium Cobalt Oxide
B391,High capacity lithium-ion cell for EVs,2000.0,3.7,50.0,-10.0,Pouch,100.0,Graphite,Lithium Iron Phosphate
B392,Solid-state battery prototype for aerospace,10000.0,3.2,40.0,,Pouch,100.0,Lithium Metal,
B393,Solid-state battery prototype for aerospace,5000.0,12.0,50.0,-20.0,Prismatic,1.0,Lithium Metal,
,High capacity lithium-ion cell for EVs,5000.0,3.2,60.0,-20.0,Pouch,1.0,Graphite,Lithium Iron Phosphate
B395,Solid-state battery prototype for aerospace,3000.0,,40.0,0.0,Prismatic,2.0,Lithium Metal,Lithium Cobalt Oxide
B396,Solid-state battery prototype for aerospace,2000.0,3.2,,0.0,,50.0,Lithium Metal,Lithium Cobalt Oxide
B397,Solid-state battery prototype for aerospace,2500.0,24.0,60.0,-20.0,Prismatic,50.0,Lithium Metal,
B398,Nickel-metal hydride battery pack for hybrid vehicles,2000.0,24.0,70.0,-20.0,Pouch,50.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B399,Lead-acid deep cycle battery for UPS,,24.0,60.0,-10.0,Pouch,,Lead,Lead Dioxide
B400,Compact LiFePO4 battery for solar storage,2000.0,12.0,50.0,-20.0,,,,Lithium Cobalt Oxide
B401,Nickel-metal hydride battery pack for hybrid vehicles,,3.2,40.0,-20.0,Pouch,50.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B402,Solid-state battery prototype for aerospace,1000.0,3.2,60.0,0.0,Pouch,10.0,Lithium Metal,Lithium Cobalt Oxide
B403,High capacity lithium-ion cell for EVs,,12.0,50.0,,Cylindrical,2.0,Graphite,Lithium Iron Phosphate
B404,Solid-state battery prototype for aerospace,10000.0,,40.0,0.0,Prismatic,100.0,,Lithium Cobalt Oxide
B405,Lead-acid deep cycle battery for UPS,3000.0,3.6,40.0,-20.0,Cylindrical,50.0,,Lead Dioxide
B406,Solid-state battery prototype for aerospace,2000.0,3.2,60.0,-10.0,,2.0,Lithium Metal,Lithium Cobalt Oxide
B407,High capacity lithium-ion cell for EVs,1000.0,3.6,40.0,-20.0,Prismatic,,Graphite,Lithium Iron Phosphate
B408,Lead-acid deep cycle battery for UPS,2000.0,12.0,60.0,-20.0,Pouch,,Lead,Lead Dioxide
B409,Solid-state battery prototype for aerospace,10000.0,3.7,40.0,-20.0,Prismatic,5.0,Lithium Metal,Lithium Cobalt Oxide
B410,Lead-acid deep cycle battery for UPS,3000.0,3.7,70.0,0.0,Pouch,2.0,Lead,Lead Dioxide
B411,Compact LiFePO4 battery for solar storage,10000.0,3.7,50.0,-10.0,Pouch,50.0,Graphite,Lithium Cobalt Oxide
B412,Compact LiFePO4 battery for solar storage,3000.0,,,-20.0,Prismatic,5.0,Graphite,Lithium Cobalt Oxide
B413,Solid-state battery prototype for aerospace,5000.0,24.0,60.0,0.0,,2.0,Lithium Metal,Lithium Cobalt Oxide
B414,Lead-acid deep cycle battery for UPS,3000.0,24.0,70.0,-10.0,Prismatic,,Lead,Lead Dioxide
B415,High capacity lithium-ion cell for EVs,,,60.0,0.0,Pouch,,Graphite,Lithium Iron Phosphate
B416,Solid-state battery prototype for aerospace,10000.0,24.0,40.0,,Prismatic,20.0,Lithium Metal,Lithium Cobalt Oxide
B417,Compact LiFePO4 battery for solar storage,1000.0,24.0,40.0,-10.0,Prismatic,,Graphite,Lithium Cobalt Oxide
B418,Compact LiFePO4 battery for solar storage,5000.0,3.7,60.0,-20.0,Pouch,50.0,Graphite,Lithium Cobalt Oxide
B419,Solid-state battery prototype for aerospace,,3.7,70.0,0.0,Cylindrical,,Lithium Metal,Lithium Cobalt Oxide
B420,Lead-acid deep cycle battery for UPS,2000.0,3.6,40.0,0.0,Prismatic,1.0,Lead,Lead Dioxide
B421,Compact LiFePO4 battery for solar storage,10000.0,3.2,50.0,,Pouch,,Graphite,Lithium Cobalt Oxide
B422,Lead-acid deep cycle battery for UPS,1000.0,3.6,40.0,-20.0,Pouch,,Lead,Lead Dioxide
,Compact LiFePO4 battery for solar storage,3000.0,3.6,50.0,-10.0,Prismatic,10.0,Graphite,Lithium Cobalt Oxide
B424,Compact LiFePO4 battery for solar storage,1000.0,12.0,70.0,-10.0,Cylindrical,1.0,Graphite,Lithium Cobalt Oxide
B425,Nickel-metal hydride battery pack for hybrid vehicles,2000.0,12.0,50.0,-10.0,Prismatic,10.0,Hydrogen-absorbing Alloy,Nickel Oxyhydroxide
B426,Compact LiFePO4 battery for solar storage,5000.0,3.6,50.0,-20.0,Cylindrical,,Graphite,
B427,High capacity lithium-ion cell for EVs,5000.0,3.6,,0.0,Cylindrical,2.0,Graphite,Lithium Iron Phosphate
B428,Solid-state battery prototype for aerospace,,3.6,50.0,0.0,Cylindrical,5.0,Lithium Metal,Lithium Cobalt Oxide
,Solid-state battery prototype for aerospace,5000.0,24.0,40.0,-10.0,Cylindrical,2.0,Lithium Metal,Lithium Cobalt Oxide
B430,Lead-acid deep cycle battery for UPS,10000.0,12.0,50.0,-20.0,Prismatic,50.0,,Lead Dioxide
,Compact LiFePO4 battery for solar storage,10000.0,3.6,40.0,0.0,Pouch,,Graphite,Lithium Cobalt Oxide
B432,High capacity lithium-ion cell for EVs,10000.0,3.7,,-10.0,Pouch,10.0,Graphite,
B433,Lead-acid deep cycle battery for UPS,,3.7,60.0,0.0,Pouch,2.0,,Lead Dioxide
B434,Nickel-metal hydride battery pack for hybrid vehicles,,24.0,70.0,0.0,Pouch,2.0,,Nickel Oxyhydroxide
B435,Lead-acid deep cycle battery for UPS,10000.0,24.0,50.0,-20.0,,2.0,Lead,Lead Dioxide
B436,Lead-acid deep cycle battery for UPS,10000.0,3.2,,,Pouch,1.0,Lead,Lead Dioxide
B437,Compact LiFePO4 battery for solar storage,2500.0,3.2,50.0,0.0,Prismatic,5.0,,
